UR	SR
d.æ1.t.ʌ0.p.ɹ.ɔ2.d.ʌ0.k.t.s	d.æ1.ɾ.ʌ0.p.ɹ.ɔ2.d.ʌ0.k.t.s
s.ʌ1.f.ʌ0.k.eɪ2.t.ɪ0.ŋ	s.ʌ1.f.ʌ0.k.eɪ2.ɾ.ɪ0.ŋ
ɪ2.n.v.ɛ1.s.t.ʌ0.g.eɪ2.t.ɪ0.ŋ	ɪ.n.v.ɛ1.s.t.ʌ0.g.eɪ2.ɾ.ɪ0.ŋ
m.ɔ0.ɹ.i0.m.oʊ1.t.oʊ0	m.ɔ0.ɹ.i0.m.oʊ1.ɾ.0
m.ɑ1.t.ɚ0	m.ɑ1.ɾ.0
k.ɛ1.t.ɚ0.ɪ0.ŋ	k.ɛ1.ɾ.ɚ0.ɪ0.ŋ
g.æ1.t.ɛ2.k.s	g.æ1.ɾ.ɛ2.k.s
ɪ2.n.f.ɚ1.t.ʌ0.l	ɪ.n.f.ɚ1.ɾ.ʌ0.l
ɛ1.k.s.t.ɹ.ʌ0.d.aɪ2.t.ɪ0.d	ɛ.k.s.t.ɹ.ʌ0.d.aɪ2.ɾ.ɪ0.d
ɹ.u1.t.ʌ0.b.eɪ0.g.ʌ0	ɹ.u1.ɾ.ʌ0.b.eɪ0.g.0
ɑ1.t.oʊ2.z	ɑ.ɾ.oʊ2.z
ɛ0.n.t.ɹ.i1.t.ɪ0.ŋ	ɛ.n.t.ɹ.i1.ɾ.ɪ0.ŋ
m.aɪ1.g.ɹ.eɪ2.t.ɪ0.ŋ	m.aɪ1.g.ɹ.eɪ2.ɾ.ɪ0.ŋ
t.oʊ2.t.æ2.l.ʌ0.t.ɛ1.ɹ.i0.ʌ0.n.ɪ2.z.ʌ0.m	t.oʊ2.ɾ.æ2.l.ʌ0.t.ɛ1.ɹ.i0.ʌ0.n.ɪ2.z.ʌ0.m
k.ɪ0.k.w.i1.t.ʌ0	k.ɪ0.k.w.i1.ɾ.0
k.ʌ1.l.m.ʌ0.n.eɪ2.t.ɪ0.ŋ	k.ʌ1.l.m.ʌ0.n.eɪ2.ɾ.ɪ0.ŋ
p.oʊ1.t.ɑ2.ʒ	p.oʊ1.ɾ.ɑ2.ʒ
m.ɑ0.ɹ.k.w.i1.t.ʌ0	m.ɑ0.ɹ.k.w.i1.ɾ.0
j.oʊ0.k.oʊ1.t.ʌ0	j.oʊ0.k.oʊ1.ɾ.0
n.ɑ0.n.b.aɪ1.t.ɪ0.ŋ	n.ɑ0.n.b.aɪ1.ɾ.ɪ0.ŋ
ɛ0.θ.ɚ1.t.ʌ0.n	ɛ.θ.ɚ1.ɾ.ʌ0.n
ɪ0.g.z.æ1.s.ɚ0.b.eɪ2.t.ɪ0.d	ɪ.g.z.æ1.s.ɚ0.b.eɪ2.ɾ.ɪ0.d
f.ɛ1.t.ʌ0.d	f.ɛ1.ɾ.ʌ0.d
ɪ0.k.s.aɪ1.t.ʌ0.d	ɪ.k.s.aɪ1.ɾ.ʌ0.d
ɛ2.k.s.k.ɹ.u1.s.i0.eɪ2.t.ɪ0.ŋ.l.i0	ɛ.k.s.k.ɹ.u1.s.i0.eɪ2.ɾ.ɪ0.ŋ.l.0
k.ɪ1.l.ʌ0.m.i2.t.ɚ0.z	k.ɪ1.l.ʌ0.m.i2.ɾ.ɚ0.z
ɪ0.ɹ.æ1.d.ʌ0.k.eɪ2.t.ɪ0.ŋ	ɪ.ɹ.æ1.d.ʌ0.k.eɪ2.ɾ.ɪ0.ŋ
k.ʌ1.t.aʊ2.t	k.ʌ1.ɾ.aʊ2.t
t.ɛ2.ɹ.ʌ0.d.ɑ1.t.ʌ0	t.ɛ2.ɹ.ʌ0.d.ɑ1.ɾ.0
k.ʌ0.m.b.æ1.t.ɪ0.v	k.ʌ0.m.b.æ1.ɾ.ɪ0.v
f.oʊ1.t.oʊ0.k.ɑ2.p.i0.ɚ0	f.oʊ1.ɾ.oʊ0.k.ɑ2.p.i0.0
k.ʌ1.t.ɚ0	k.ʌ1.ɾ.0
g.l.ʌ1.t.ɪ0.d	g.l.ʌ1.ɾ.ɪ0.d
n.ʌ0.k.i1.t.ʌ0	n.ʌ0.k.i1.ɾ.0
k.i1.t.oʊ2.z	k.i1.ɾ.oʊ2.z
ɪ2.n.f.j.ʊ1.ɹ.i0.eɪ2.t.ɪ0.d	ɪ.n.f.j.ʊ1.ɹ.i0.eɪ2.ɾ.ɪ0.d
k.ɪ2.n.ʌ0.s.θ.ɛ1.t.ɪ0.k	k.ɪ2.n.ʌ0.s.θ.ɛ1.ɾ.ɪ0.k
m.i1.t.ɚ0.æ2.n.d	m.i1.ɾ.ɚ0.æ2.n.d
ʌ0.s.oʊ1.s.i0.eɪ2.t.ɪ0.ŋ	ʌ.s.oʊ1.s.i0.eɪ2.ɾ.ɪ0.ŋ
f.l.ʌ1.t.ɚ0.ɪ0.ŋ	f.l.ʌ1.ɾ.ɚ0.ɪ0.ŋ
i0.v.æ1.l.j.u0.eɪ2.t.ʌ0.d	i.v.æ1.l.j.u0.eɪ2.ɾ.ʌ0.d
ʃ.u1.t.ɪ0.ŋ.z	ʃ.u1.ɾ.ɪ0.ŋ.z
ɪ0.l.u1.s.ʌ0.d.eɪ2.t.ʌ0.d	ɪ.l.u1.s.ʌ0.d.eɪ2.ɾ.ʌ0.d
f.ɚ1.t.ɪ0.v.l.i0	f.ɚ1.ɾ.ɪ0.v.l.0
ʌ0.k.j.u1.m.j.ʌ0.l.eɪ2.t.ɪ0.v	ʌ.k.j.u1.m.j.ʌ0.l.eɪ2.ɾ.ɪ0.v
g.l.ɪ1.t.ɚ0.z	g.l.ɪ1.ɾ.ɚ0.z
ɹ.i1.p.ɹ.ɔ2.dʒ.ʌ0.n.ɛ2.t.ɪ0.k.s	ɹ.i1.p.ɹ.ɔ2.dʒ.ʌ0.n.ɛ2.ɾ.ɪ0.k.s
ɹ.ɪ2.t.ɛ1.ʃ	ɹ.ɪ2.ɾ.ɛ1.ʃ
ɹ.aɪ1.t.ɪ0.d	ɹ.aɪ1.ɾ.ɪ0.d
t.ɹ.aɪ0.l.æ1.t.ɚ0.ʌ0.l	t.ɹ.aɪ0.l.æ1.ɾ.ɚ0.ʌ0.l
k.ɚ0.oʊ1.t.ʌ0	k.ɚ0.oʊ1.ɾ.0
t.ɑ2.t.ɑ1.ɹ.s.t.ɑ2.n	t.ɑ2.ɾ.ɑ1.ɹ.s.t.ɑ2.n
d.aɪ2.ʌ0.k.ɹ.ɪ1.t.ʌ0.k.ʌ0.l	d.aɪ2.ʌ0.k.ɹ.ɪ1.ɾ.ʌ0.k.ʌ0.l
m.ɪ2.n.i0.s.u1.p.ɚ0.k.ʌ2.m.p.j.u2.t.ɚ0	m.ɪ2.n.i0.s.u1.p.ɚ0.k.ʌ2.m.p.j.u2.ɾ.0
m.oʊ2.t.ʌ0.v.eɪ1.ʃ.ʌ0.n.ʌ0.l	m.oʊ2.ɾ.ʌ0.v.eɪ1.ʃ.ʌ0.n.ʌ0.l
h.w.i1.l.ɹ.aɪ2.t.ɚ0	h.w.i1.l.ɹ.aɪ2.ɾ.0
w.ʌ1.t.aɪ2.m	w.ʌ1.ɾ.aɪ2.m
b.ʌ0.l.ɛ2.t.i0.ɛ1.ɹ.i0	b.ʌ0.l.ɛ2.ɾ.i0.ɛ1.ɹ.0
s.k.æ1.t.ɚ0.ʃ.ɑ2.t	s.k.æ1.ɾ.ɚ0.ʃ.ɑ2.t
k.ʌ0.m.j.u1.t.ɪ0.ŋ	k.ʌ0.m.j.u1.ɾ.ɪ0.ŋ
m.ɛ2.θ.æ0.m.f.ɛ1.t.ʌ0.m.i0.n	m.ɛ2.θ.æ0.m.f.ɛ1.ɾ.ʌ0.m.i0.n
j.u1.t.ɑ0.z	j.u1.ɾ.ɑ0.z
eɪ1.t.i1.p.i1	e.ɾ.i1.p.1
d.eɪ1.t.ʌ0.m	d.eɪ1.ɾ.ʌ0.m
b.æ1.t.ɑ2.n	b.æ1.ɾ.ɑ2.n
g.ɑ1.t.ʌ0	g.ɑ1.ɾ.0
æ2.n.d.ɹ.ɛ1.t.i0	æ.n.d.ɹ.ɛ1.ɾ.0
k.ɹ.ɪ1.t.ɪ0.k.l.i0	k.ɹ.ɪ1.ɾ.ɪ0.k.l.0
v.ɚ1.t.ʌ0.b.ɹ.eɪ2.t.s	v.ɚ1.ɾ.ʌ0.b.ɹ.eɪ2.t.s
ɹ.i0.k.u1.p.ɚ0.eɪ2.t.ɪ0.ŋ	ɹ.i0.k.u1.p.ɚ0.eɪ2.ɾ.ɪ0.ŋ
tʃ.i1.t.ʌ0.m	t.i1.ɾ.ʌ0.m
ɛ1.l.ʌ0.v.eɪ2.t.ɪ0.d	ɛ.l.ʌ0.v.eɪ2.ɾ.ɪ0.d
n.oʊ1.t.ʌ0.d	n.oʊ1.ɾ.ʌ0.d
b.eɪ1.t.ɚ0.z	b.eɪ1.ɾ.ɚ0.z
m.oʊ1.t.ʌ0.v.eɪ2.t	m.oʊ1.ɾ.ʌ0.v.eɪ2.t
k.ɹ.ɛ0.d.ɪ1.t.ʌ2.n.s.t.ɔ2.l.t	k.ɹ.ɛ0.d.ɪ1.ɾ.ʌ2.n.s.t.ɔ2.l.t
æ0.l.g.ɑ1.t.ʌ0	æ.l.g.ɑ1.ɾ.0
f.ɛ1.t.ɚ0.z	f.ɛ1.ɾ.ɚ0.z
k.ɪ1.t.ɪ0.ŋ.ɚ0	k.ɪ1.ɾ.ɪ0.ŋ.0
b.ɛ1.t.ɚ0	b.ɛ1.ɾ.0
d.ɪ0.t.ɹ.aɪ1.t.ʌ0.s	d.ɪ0.t.ɹ.aɪ1.ɾ.ʌ0.s
k.ɑ2.s.b.ʌ0.l.ɑ1.t.ɑ0.f	k.ɑ2.s.b.ʌ0.l.ɑ1.ɾ.ɑ0.f
m.ɑ0.t.s.oʊ1.t.ʌ0	m.ɑ0.t.s.oʊ1.ɾ.0
ʌ0.g.l.u1.t.ɪ0.n.eɪ2.t	ʌ.g.l.u1.ɾ.ɪ0.n.eɪ2.t
k.æ2.t.ʌ0.l.i1.n.ʌ0	k.æ2.ɾ.ʌ0.l.i1.n.0
s.ɛ2.ɹ.v.ɛ0.s.ɑ1.t.oʊ2	s.ɛ2.ɹ.v.ɛ0.s.ɑ1.ɾ.2
d.ɛ2.t.ɑ1	d.ɛ2.ɾ.1
ɪ2.n.t.ɛ1.ɹ.ʌ0.g.eɪ2.t.ɚ0	ɪ.n.t.ɛ1.ɹ.ʌ0.g.eɪ2.ɾ.0
v.aɪ2.t.æ1.l	v.aɪ2.ɾ.æ1.l
s.p.aʊ1.t.ʌ0.d	s.p.aʊ1.ɾ.ʌ0.d
g.l.eɪ1.s.i0.eɪ2.t.ʌ0.d	g.l.eɪ1.s.i0.eɪ2.ɾ.ʌ0.d
f.oʊ2.t.oʊ0.f.ɪ1.n.ɪ2.ʃ.ɚ0.z	f.oʊ2.ɾ.oʊ0.f.ɪ1.n.ɪ2.ʃ.ɚ0.z
b.j.u1.t.i0	b.j.u1.ɾ.0
n.oʊ0.v.ɑ1.t.oʊ0	n.oʊ0.v.ɑ1.ɾ.0
f.ʊ1.t.n.oʊ2.t.ɪ0.d	f.ʊ1.t.n.oʊ2.ɾ.ɪ0.d
m.ɑ1.d.ɚ0.eɪ2.t.ɚ0.z	m.ɑ1.d.ɚ0.eɪ2.ɾ.ɚ0.z
s.w.i1.t.ʌ0.n.d	s.w.i1.ɾ.ʌ0.n.d
k.eɪ0.ɑ1.t.ɪ0.k	k.eɪ0.ɑ1.ɾ.ɪ0.k
s.t.ʌ0.k.ɑ1.t.oʊ2	s.t.ʌ0.k.ɑ1.ɾ.2
p.ɹ.ʌ0.k.ɹ.æ1.s.t.ʌ0.n.eɪ2.t.ɪ0.ŋ	p.ɹ.ʌ0.k.ɹ.æ1.s.t.ʌ0.n.eɪ2.ɾ.ɪ0.ŋ
b.oʊ1.t.oʊ0.z	b.oʊ1.ɾ.oʊ0.z
ɪ2.n.d.ɛ1.t.ɪ0.d.n.ɪ0.s	ɪ.n.d.ɛ1.ɾ.ɪ0.d.n.ɪ0.s
dʒ.ɪ1.t.ɚ0.i0	d.ɪ1.ɾ.ɚ0.0
ʌ0.h.i1.t.oʊ0	ʌ.h.i1.ɾ.0
d.aɪ0.l.u1.t.ʌ0.d	d.aɪ0.l.u1.ɾ.ʌ0.d
b.ɛ0.t.eɪ1.t.ʌ0	b.ɛ0.t.eɪ1.ɾ.0
dʒ.ʌ0.n.ɛ1.t.ʌ0.s.ʌ0.s.t	d.ʌ0.n.ɛ1.ɾ.ʌ0.s.ʌ0.s.t
k.ɹ.ɔɪ1.t.ɚ0	k.ɹ.ɔɪ1.ɾ.0
k.ʌ0.n.v.ɚ1.t.ɚ0	k.ʌ0.n.v.ɚ1.ɾ.0
ɹ.ɛ1.p.l.ɪ0.k.eɪ2.t.ɚ0.s	ɹ.ɛ1.p.l.ɪ0.k.eɪ2.ɾ.ɚ0.s
s.k.ɑ1.t.ʌ0.n	s.k.ɑ1.ɾ.ʌ0.n
ɪ2.m.p.ɹ.ɪ0.m.ɑ1.t.ɚ0	ɪ.m.p.ɹ.ɪ0.m.ɑ1.ɾ.0
m.ɪ2.s.b.ʌ0.g.ɑ1.t.ʌ0.n	m.ɪ2.s.b.ʌ0.g.ɑ1.ɾ.ʌ0.n
m.ʊ0.ɹ.i1.t.ʌ0	m.ʊ0.ɹ.i1.ɾ.0
d.i0.f.ɪ1.b.ɹ.ɪ0.l.eɪ2.t.ɚ0.z	d.i0.f.ɪ1.b.ɹ.ɪ0.l.eɪ2.ɾ.ɚ0.z
m.j.u1.t.ʌ0.n.i0.d	m.j.u1.ɾ.ʌ0.n.i0.d
f.æ1.b.ɹ.ɪ0.k.eɪ2.t.ɚ0.z	f.æ1.b.ɹ.ɪ0.k.eɪ2.ɾ.ɚ0.z
l.i0.ʌ0.n.ɛ1.t.i0	l.i0.ʌ0.n.ɛ1.ɾ.0
ɚ1.t.eɪ0	ɚ.ɾ.0
g.eɪ1.t.ʌ0.n	g.eɪ1.ɾ.ʌ0.n
m.aɪ1.k.ɹ.oʊ2.t.u1.b.j.u0.l.z	m.aɪ1.k.ɹ.oʊ2.ɾ.u1.b.j.u0.l.z
l.oʊ0.l.ɛ1.t.ʌ0	l.oʊ0.l.ɛ1.ɾ.0
l.aɪ1.t.ɛ0.m	l.aɪ1.ɾ.ɛ0.m
m.ʊ0.ɹ.ɑ0.m.oʊ1.t.oʊ0	m.ʊ0.ɹ.ɑ0.m.oʊ1.ɾ.0
b.u2.t.ɛ1.l	b.u2.ɾ.ɛ1.l
j.ɑ0.m.ɑ0.m.oʊ1.t.oʊ0	j.ɑ0.m.ɑ0.m.oʊ1.ɾ.0
ɛ2.n.ɪ0.g.m.æ1.t.ɪ0.k	ɛ.n.ɪ0.g.m.æ1.ɾ.ɪ0.k
p.ɑ0.ɹ.oʊ1.t.ʌ0	p.ɑ0.ɹ.oʊ1.ɾ.0
p.ʌ0.k.s.oʊ1.t.oʊ0	p.ʌ0.k.s.oʊ1.ɾ.0
k.ɹ.i0.eɪ2.t.ɔ1.l.ʌ0.dʒ.ɪ0.s.t.s	k.ɹ.i0.eɪ2.ɾ.ɔ1.l.ʌ0.dʒ.ɪ0.s.t.s
k.ʌ0.m.ɪ1.t.ɪ0.d	k.ʌ0.m.ɪ1.ɾ.ɪ0.d
h.ʌ1.t.ɚ0	h.ʌ1.ɾ.0
dʒ.i1.t.ɛ2.k.s	d.i1.ɾ.ɛ2.k.s
h.aɪ2.p.ɚ0.k.ɪ0.n.ɛ1.t.ɪ0.k	h.aɪ2.p.ɚ0.k.ɪ0.n.ɛ1.ɾ.ɪ0.k
m.æ0.g.n.ɛ1.t.ɪ0.k.ʌ0.l.i0	m.æ0.g.n.ɛ1.ɾ.ɪ0.k.ʌ0.l.0
d.ʌ0.b.eɪ1.t.ɚ0.z	d.ʌ0.b.eɪ1.ɾ.ɚ0.z
g.eɪ1.t.ɪ0.ŋ	g.eɪ1.ɾ.ɪ0.ŋ
l.ɛ1.t.ɚ0.d	l.ɛ1.ɾ.ɚ0.d
k.ɹ.ɪ1.t.ɚ0.z	k.ɹ.ɪ1.ɾ.ɚ0.z
b.ɚ1.t.ɪ0.l.d	b.ɚ1.ɾ.ɪ0.l.d
p.aɪ1.t.ɚ0	p.aɪ1.ɾ.0
w.ɪ1.t.ɚ0.z	w.ɪ1.ɾ.ɚ0.z
f.l.i1.t.ɪ0.ŋ	f.l.i1.ɾ.ɪ0.ŋ
ʌ2.l.t.ʌ0.m.eɪ1.t.ʌ0.m	ʌ.l.t.ʌ0.m.eɪ1.ɾ.ʌ0.m
t.oʊ1.t.oʊ0	t.oʊ1.ɾ.0
l.i1.t.ʌ0	l.i1.ɾ.0
ɹ.i2.ʌ0.b.ɪ1.l.ʌ0.t.eɪ2.t.ɪ0.ŋ	ɹ.i2.ʌ0.b.ɪ1.l.ʌ0.t.eɪ2.ɾ.ɪ0.ŋ
m.aɪ1.t.i0	m.aɪ1.ɾ.0
æ2.f.ɹ.ʌ0.d.aɪ1.t.i0.z	æ.f.ɹ.ʌ0.d.aɪ1.ɾ.i0.z
ɑ0.ɹ.θ.ɹ.aɪ1.t.ɪ0.s	ɑ.ɹ.θ.ɹ.aɪ1.ɾ.ɪ0.s
æ1.dʒ.ʌ0.t.eɪ2.t.ʌ0.d	æ.dʒ.ʌ0.t.eɪ2.ɾ.ʌ0.d
k.ʌ2.v.ɚ0.s.ɑ1.t.ʌ0	k.ʌ2.v.ɚ0.s.ɑ1.ɾ.0
p.ɔɪ2.n.s.ɛ1.t.i2.ʌ0	p.ɔɪ2.n.s.ɛ1.ɾ.i2.0
ɹ.i0.t.æ1.l.i0.eɪ2.t.ɪ0.d	ɹ.i0.t.æ1.l.i0.eɪ2.ɾ.ɪ0.d
m.ʌ0.p.u1.t.oʊ0	m.ʌ0.p.u1.ɾ.0
m.j.u1.t.ʌ0.n.i0	m.j.u1.ɾ.ʌ0.n.0
ɹ.i0.v.aɪ1.t.ʌ0.l.aɪ2.z.d	ɹ.i0.v.aɪ1.ɾ.ʌ0.l.aɪ2.z.d
aʊ1.t.eɪ2.k	a.ɾ.eɪ2.k
m.æ1.t.ʌ0.k.s	m.æ1.ɾ.ʌ0.k.s
b.æ1.t.ʌ0.l.ʃ.ɪ2.p	b.æ1.ɾ.ʌ0.l.ʃ.ɪ2.p
s.u0.k.ɑ0.m.oʊ1.t.oʊ0	s.u0.k.ɑ0.m.oʊ1.ɾ.0
ɛ0.n.k.ɑ1.t.ʌ0	ɛ.n.k.ɑ1.ɾ.0
k.ɑ1.n.s.t.ʌ0.t.u2.t.ɪ0.ŋ	k.ɑ1.n.s.t.ʌ0.t.u2.ɾ.ɪ0.ŋ
p.æ1.t.ɪ0.z	p.æ1.ɾ.ɪ0.z
ɪ2.n.f.æ1.tʃ.u0.eɪ2.t.ɪ0.d	ɪ.n.f.æ1.tʃ.u0.eɪ2.ɾ.ɪ0.d
t.i1.t.ɚ0.z	t.i1.ɾ.ɚ0.z
k.ɑ0.m.ɑ0.ɹ.ɑ1.t.ʌ0	k.ɑ0.m.ɑ0.ɹ.ɑ1.ɾ.0
ɹ.ʌ1.t.ɚ0	ɹ.ʌ1.ɾ.0
ʌ0.b.ɛ1.t.ɪ0.d	ʌ.b.ɛ1.ɾ.ɪ0.d
t.ɹ.i1.t.ʌ0.d	t.ɹ.i1.ɾ.ʌ0.d
ɹ.i0.p.i1.t.ɪ0.ŋ	ɹ.i0.p.i1.ɾ.ɪ0.ŋ
p.ɪ1.k.tʃ.ɚ2.t.ɛ2.l	p.ɪ1.k.tʃ.ɚ2.ɾ.ɛ2.l
m.i1.t.ɚ0.ɔ2.n.d	m.i1.ɾ.ɚ0.ɔ2.n.d
ʃ.ʌ1.t.ʌ0.l.z.w.ɚ2.θ	ʃ.ʌ1.ɾ.ʌ0.l.z.w.ɚ2.θ
f.ɛ1.t.ɪ0.ʃ.ʌ0.s.t	f.ɛ1.ɾ.ɪ0.ʃ.ʌ0.s.t
t.ɹ.æ0.n.s.l.eɪ1.t.ɚ0.z	t.ɹ.æ0.n.s.l.eɪ1.ɾ.ɚ0.z
s.k.w.ɑ1.t.ɪ0.ŋ	s.k.w.ɑ1.ɾ.ɪ0.ŋ
t.ɛ1.l.ʌ0.k.ʌ0.m.j.u2.t.ɚ0.z	t.ɛ1.l.ʌ0.k.ʌ0.m.j.u2.ɾ.ɚ0.z
d.eɪ1.t.ʌ0.k.ɑ2.m.p	d.eɪ1.ɾ.ʌ0.k.ɑ2.m.p
f.oʊ1.t.oʊ2.ʃ.ɑ2.p.s	f.oʊ1.ɾ.oʊ2.ʃ.ɑ2.p.s
d.ɪ0.z.ɚ1.t.ɪ0.d	d.ɪ0.z.ɚ1.ɾ.ɪ0.d
s.w.i1.t.ɚ0	s.w.i1.ɾ.0
f.æ1.t.ʌ0.n.ɪ0.ŋ	f.æ1.ɾ.ʌ0.n.ɪ0.ŋ
ɪ1.n.oʊ0.v.eɪ2.t.ɚ0	ɪ.n.oʊ0.v.eɪ2.ɾ.0
ɑ2.s.t.i0.oʊ2.ɑ0.ɹ.θ.ɹ.aɪ1.t.ʌ0.s	ɑ.s.t.i0.oʊ2.ɑ0.ɹ.θ.ɹ.aɪ1.ɾ.ʌ0.s
k.æ1.t.ʌ0.k.ɪ2.z.ʌ0.m	k.æ1.ɾ.ʌ0.k.ɪ2.z.ʌ0.m
b.ɛ1.g.l.aɪ2.t.ɚ0.z	b.ɛ1.g.l.aɪ2.ɾ.ɚ0.z
b.ɹ.u1.t.ʌ0.l.i0	b.ɹ.u1.ɾ.ʌ0.l.0
ɹ.ɪ0.p.ɛ1.t.ɪ0.t.ɪ0.v	ɹ.ɪ0.p.ɛ1.ɾ.ɪ0.t.ɪ0.v
ɹ.i0.p.j.u1.d.i0.eɪ2.t.ɪ0.ŋ	ɹ.i0.p.j.u1.d.i0.eɪ2.ɾ.ɪ0.ŋ
k.ʌ0.m.p.ɛ1.t.ʌ0.t.ɚ0.z	k.ʌ0.m.p.ɛ1.ɾ.ʌ0.t.ɚ0.z
eɪ2.t.ɪ1.p.ɪ0.k	e.ɾ.ɪ1.p.ɪ0.k
s.ɑ0.ŋ.i0.n.ɛ1.t.i0	s.ɑ0.ŋ.i0.n.ɛ1.ɾ.0
s.ɪ1.t.i0.s.aɪ2.d	s.ɪ1.ɾ.i0.s.aɪ2.d
p.ɪ1.t.ʌ0.f.ʌ0.l	p.ɪ1.ɾ.ʌ0.f.ʌ0.l
ʌ2.n.s.ʌ0.f.ɪ1.s.t.ɪ0.k.eɪ2.t.ɪ0.d	ʌ.n.s.ʌ0.f.ɪ1.s.t.ɪ0.k.eɪ2.ɾ.ɪ0.d
ð.æ1.t.ɪ0.d	ð.æ1.ɾ.ɪ0.d
f.oʊ1.t.oʊ0.k.ɑ2.p.i0	f.oʊ1.ɾ.oʊ0.k.ɑ2.p.0
t.ɹ.i1.t.i0	t.ɹ.i1.ɾ.0
ɹ.ɛ1.t.ɹ.oʊ2.f.ɪ2.t.ɪ0.d	ɹ.ɛ1.t.ɹ.oʊ2.f.ɪ2.ɾ.ɪ0.d
w.ɔ1.t.ɚ0.ɪ0.ʃ.n.ʌ0.s	w.ɔ1.ɾ.ɚ0.ɪ0.ʃ.n.ʌ0.s
n.u1.t.ɪ0.b.u0.m	n.u1.ɾ.ɪ0.b.u0.m
ɪ0.m.ɪ1.t.ɪ0.d	ɪ.m.ɪ1.ɾ.ɪ0.d
d.i1.t.eɪ0.l	d.i1.ɾ.eɪ0.l
l.ɔɪ1.t.ɚ0.ɪ0.ŋ	l.ɔɪ1.ɾ.ɚ0.ɪ0.ŋ
d.eɪ1.t.ʌ0.g.ɹ.æ2.f.ɪ0.k.s	d.eɪ1.ɾ.ʌ0.g.ɹ.æ2.f.ɪ0.k.s
l.oʊ0.z.i1.t.oʊ0	l.oʊ0.z.i1.ɾ.0
w.ɑ0.n.i1.t.ʌ0	w.ɑ0.n.i1.ɾ.0
g.l.u1.t.ʌ0.m.eɪ2.t	g.l.u1.ɾ.ʌ0.m.eɪ2.t
ɹ.aɪ1.t.ɔ0.f.s	ɹ.aɪ1.ɾ.ɔ0.f.s
v.ɛ0.l.v.i1.t.ʌ0	v.ɛ0.l.v.i1.ɾ.0
s.ɪ1.t.i0.p.l.eɪ2.s	s.ɪ1.ɾ.i0.p.l.eɪ2.s
s.l.ɑ1.t.ɪ0.d	s.l.ɑ1.ɾ.ɪ0.d
k.ɪ1.t.ɚ0.m.ʌ0.n	k.ɪ1.ɾ.ɚ0.m.ʌ0.n
s.eɪ1.t.ʌ0.n.z	s.eɪ1.ɾ.ʌ0.n.z
k.ɑ2.n.k.ʌ0.m.ɪ1.t.ʌ0.n.t	k.ɑ2.n.k.ʌ0.m.ɪ1.ɾ.ʌ0.n.t
p.ɹ.oʊ2.t.ʌ0.z.oʊ1.ʌ0.n	p.ɹ.oʊ2.ɾ.ʌ0.z.oʊ1.ʌ0.n
b.l.oʊ1.t.ɔ2.ɹ.tʃ.ʌ0.z	b.l.oʊ1.ɾ.ɔ2.ɹ.tʃ.ʌ0.z
b.ɹ.u1.t.ʌ0.l.aɪ2.z.ɪ0.z	b.ɹ.u1.ɾ.ʌ0.l.aɪ2.z.ɪ0.z
s.t.ɑ1.t.ʌ0.l.m.aɪ0.ɚ0	s.t.ɑ1.ɾ.ʌ0.l.m.aɪ0.0
k.ɑ2.t.ɚ0.i1.n.ʌ0	k.ɑ2.ɾ.ɚ0.i1.n.0
ɹ.ɛ1.t.ʌ0.n.u2	ɹ.ɛ1.ɾ.ʌ0.n.2
s.ɛ1.n.s.d.eɪ1.t.ʌ0.m	s.ɛ1.n.s.d.eɪ1.ɾ.ʌ0.m
f.ʌ0.dʒ.i1.t.ʌ0.z	f.ʌ0.dʒ.i1.ɾ.ʌ0.z
s.ɪ1.m.j.ʌ0.l.eɪ2.t.ɪ0.d	s.ɪ1.m.j.ʌ0.l.eɪ2.ɾ.ɪ0.d
v.ɛ0.n.d.ɛ1.t.ʌ0.z	v.ɛ0.n.d.ɛ1.ɾ.ʌ0.z
ɹ.ɪ0.k.ɹ.u1.t.ɚ0.z	ɹ.ɪ0.k.ɹ.u1.ɾ.ɚ0.z
m.oʊ1.t.ɚ0.s.aɪ2.k.l.ɪ0.s.t	m.oʊ1.ɾ.ɚ0.s.aɪ2.k.l.ɪ0.s.t
s.ʌ0.k.ɹ.i1.t.ʌ0.d	s.ʌ0.k.ɹ.i1.ɾ.ʌ0.d
s.l.ɔ1.t.ɚ0.ɪ0.ŋ	s.l.ɔ1.ɾ.ɚ0.ɪ0.ŋ
b.ʌ1.t.ɚ0.f.æ2.t	b.ʌ1.ɾ.ɚ0.f.æ2.t
æ1.t.ʌ0.m.z	æ.ɾ.ʌ0.m.z
ɑ1.t.ɔ0.ɹ	ɑ.ɾ.ɔ0.ɹ
b.j.u1.t.ɪ2.ʃ.ʌ0.n	b.j.u1.ɾ.ɪ2.ʃ.ʌ0.n
h.ɪ1.t.i0	h.ɪ1.ɾ.0
ɹ.æ1.t.ʌ0.f.aɪ2.d	ɹ.æ1.ɾ.ʌ0.f.aɪ2.d
f.ɚ1.t.ɔ0	f.ɚ1.ɾ.0
s.æ1.t.ɚ0.n.z	s.æ1.ɾ.ɚ0.n.z
d.ɪ0.s.ɛ1.m.ʌ0.n.eɪ2.t.ɪ0.ŋ	d.ɪ0.s.ɛ1.m.ʌ0.n.eɪ2.ɾ.ɪ0.ŋ
b.ɛ2.n.ʌ0.d.ɛ1.t.i0.z	b.ɛ2.n.ʌ0.d.ɛ1.ɾ.i0.z
